Behaviour, start_time(ms)
no_activity,0.0000
other,0.1500
groom,3.8500
other,5.5000
groom,42.3500
other,43.1500
rear,46.8500
other,47.2000
groom,53.5500
other,53.9500
groom,58.6000
other,59.1500
groom,62.5500
other,63.4000
groom,64.1000
other,65.1000
groom,67.9500
other,68.6000
groom,69.1000
other,69.5500
rear,80.2000
other,80.5500
rear,126.3000
other,126.7000
rear,179.6000
other,180.1000
rear,250.3000
other,253.1000
rear,259.6500
other,260.8000
groom,287.9500
other,289.0000
groom,311.2000
other,315.9000
groom,319.8500
other,321.1500
dig,323.7000
other,325.5500
rear,329.9500
other,331.1500
dig,344.7000
other,345.1500
dig,356.4500
other,357.0000
dig,357.4500
other,358.6000
dig,361.1500
other,361.8500
groom,364.6500
other,364.9000
rear,365.6000
other,366.3000
dig,375.9000
other,376.8500
dig,377.3500
other,378.2500
dig,378.9000
other,379.5000
dig,390.8000
other,391.7500
rear,455.4000
other,461.4500
rear,510.2500
other,510.5500
dig,534.9500
other,535.3000
groom,540.5500
other,541.7000
dig,543.3000
other,544.4000
dig,606.8500
other,607.6500
dig,608.1000
other,611.0000
rear,632.5000
other,633.1500
dig,645.5500
other,646.4500
rear,646.8500
other,647.3500
dig,649.9500
other,650.3000
rear,651.5000
other,654.8000
groom,655.4500
other,655.8000
dig,657.0500
other,657.8000
groom,681.9500
other,683.8500
groom,688.5000
other,689.2500
groom,699.2500
other,704.0500
groom,704.4500
other,710.2000
rear,712.2000
other,712.7000
groom,714.2500
other,736.5000
groom,740.1000
other,741.5000
groom,741.9500
other,743.5000
groom,743.9500
other,748.2500
groom,748.7000
other,750.8000
rear,751.1500
other,752.4500
groom,753.0000
other,756.6000
groom,759.1500
other,762.8500
groom,763.8500
other,766.3500
groom,767.2500
other,769.0500
groom,773.7000
other,774.8000
groom,776.2000
other,777.3500
groom,777.8000
other,779.2000
groom,780.0500
other,782.2500
groom,782.9500
other,784.0000
groom,784.4000
other,789.1500
rear,794.9000
other,796.7500
dig,801.0500
other,801.8000
dig,804.4500
other,804.9000
groom,828.0500
other,828.4500
groom,829.3000
other,832.6500
dig,835.0000
other,835.5000
rear,931.9000
other,934.5500
dig,935.5500
other,938.0500
dig,944.9000
other,946.0000
dig,1019.6500
other,1021.5500
dig,1030.6000
other,1031.7000
dig,1032.2000
other,1034.2000
dig,1035.4500
other,1036.6000
dig,1037.7500
other,1039.2000
rear,1040.7000
other,1041.2000
dig,1047.8000
other,1050.4000
dig,1103.1500
other,1103.8000
dig,1113.7000
other,1114.0500
dig,1180.4500
other,1181.6000
dig,1182.3500
other,1183.3000
VIDEO_END,1200.0000
