Behaviour, start_time(ms)
no_activity,0.0000
other,0.1500
rear,24.9500
other,25.2500
rear,29.8000
other,32.3500
rear,37.5000
other,37.8000
rear,38.5000
other,39.0500
rear,42.8000
other,45.5500
rear,49.6000
other,52.0000
groom,55.7500
other,58.1000
groom,61.0000
other,63.5500
groom,64.7000
other,65.9000
groom,72.7000
other,73.7500
groom,74.4000
other,75.1500
dig,80.5000
other,80.9000
rear,128.2000
other,130.5000
rear,133.3500
other,133.9000
rear,134.6500
other,135.5500
groom,157.7500
other,158.7000
rear,172.2500
other,173.1500
rear,173.5000
other,173.8000
rear,175.2000
other,176.1500
groom,209.9000
other,210.9500
groom,212.3500
other,213.7000
groom,215.0000
other,216.1000
groom,216.8000
other,217.5000
groom,217.9500
other,219.3500
groom,222.6500
other,227.0000
dig,244.2500
other,246.2500
dig,246.9000
other,248.7000
dig,250.7000
other,251.6000
rear,251.8500
other,253.5500
dig,254.6000
other,256.3500
rear,257.0000
other,259.1500
dig,261.3500
other,262.4500
dig,262.8500
other,266.6000
dig,266.9500
other,269.6500
dig,274.4500
other,276.7500
dig,278.5500
other,280.3000
dig,280.9500
other,282.2000
rear,282.5000
other,283.3500
dig,284.8000
other,285.1500
dig,288.9500
other,291.2000
rear,292.0500
other,294.2000
dig,295.7500
other,296.7000
dig,299.9000
other,300.5000
dig,301.2500
other,303.5000
dig,304.4000
other,305.3500
rear,306.7500
other,308.5500
rear,322.8000
other,324.3500
rear,327.6500
other,328.4000
rear,335.0500
other,338.9000
dig,343.6500
other,347.5500
rear,352.8500
other,357.1000
dig,358.9000
other,359.4500
dig,359.8000
other,361.0500
rear,361.9000
other,364.1500
dig,365.0500
other,367.0000
dig,368.1000
other,372.2000
dig,375.6000
other,378.1500
dig,378.7000
other,380.0000
dig,380.7000
other,382.2000
dig,383.0500
other,384.4000
dig,386.3000
other,387.1000
dig,389.0000
other,391.2000
dig,393.1000
other,393.9500
groom,395.1000
other,395.3000
dig,395.9000
other,398.7000
dig,400.0500
other,400.7500
dig,402.9000
other,403.5500
dig,403.9000
other,406.4000
dig,407.1000
other,409.1000
dig,411.6000
other,412.4000
dig,413.0500
other,414.1500
dig,414.5500
other,415.8000
dig,417.3500
other,418.5500
dig,419.3000
other,420.6500
dig,421.5500
other,423.2500
dig,424.2000
other,425.0500
dig,425.9000
other,426.8000
groom,432.7500
other,433.0500
groom,434.1000
other,435.4500
groom,436.0500
other,451.3500
groom,451.7000
other,452.5000
rear,452.8000
other,453.6000
groom,455.5500
other,460.1000
rear,460.8000
other,461.9500
rear,463.7000
other,463.9500
groom,468.9500
other,469.9000
groom,470.3000
other,470.7500
dig,488.5000
other,489.2000
dig,489.7500
other,490.7500
dig,491.2000
other,493.3000
dig,495.8500
other,498.1000
dig,498.7500
other,500.3500
dig,500.7500
other,501.1500
dig,501.9500
other,503.6000
groom,504.7500
other,505.3000
rear,508.8500
other,512.9000
rear,515.0000
other,517.3500
groom,520.8000
other,521.7500
rear,524.8000
other,527.9500
rear,531.3000
other,532.0500
rear,535.2000
other,535.9500
rear,536.7500
other,540.1000
rear,546.9000
other,549.4000
dig,552.4000
other,554.5000
rear,557.2000
other,561.8000
rear,564.9500
other,566.6500
rear,570.4500
other,571.1500
dig,579.7500
other,584.0500
rear,584.3500
other,588.6500
rear,594.9000
other,597.6500
rear,599.0000
other,601.8500
rear,602.9500
other,607.7000
rear,610.5500
other,613.2500
rear,619.3000
other,620.7000
rear,626.8500
other,627.5000
rear,628.5500
other,629.0500
groom,648.7500
other,649.1500
rear,655.3000
other,656.5500
rear,659.8500
other,660.5000
rear,673.7000
other,675.2000
groom,690.5500
other,691.1000
rear,696.6000
other,697.4500
rear,705.0500
other,705.5500
rear,707.2500
other,709.1000
rear,712.3500
other,716.5500
rear,768.4000
other,768.8500
rear,777.2000
other,778.0500
rear,778.5000
other,780.1000
groom,797.0000
other,798.0000
rear,801.5500
other,802.3500
rear,808.7500
other,810.4500
rear,817.5500
other,817.9000
groom,831.5500
other,836.1000
rear,838.3500
other,839.9000
rear,843.7000
other,845.3500
rear,850.5000
other,851.4500
rear,852.1000
other,853.7500
rear,862.0000
other,862.9500
groom,872.8000
other,873.7500
groom,874.7500
other,880.8500
dig,890.9000
other,891.4500
dig,892.6000
other,895.0500
dig,896.4000
other,896.7000
rear,897.8000
other,900.0500
dig,905.8500
other,906.2000
dig,911.5500
other,912.5000
dig,913.0500
other,914.4000
dig,915.0000
other,915.4500
dig,916.0500
other,918.7500
dig,920.0000
other,920.8000
rear,922.7500
other,923.4500
dig,925.0000
other,925.4500
rear,931.6000
other,933.7000
dig,935.1500
other,939.6500
dig,962.2500
other,963.3000
dig,963.6000
other,964.1500
rear,964.9500
other,966.0000
rear,967.1000
other,967.5000
rear,980.8000
other,981.6000
rear,982.8000
other,985.6000
dig,987.9000
other,988.8000
dig,992.8000
other,993.7000
dig,994.2000
other,994.7000
rear,995.1500
other,996.2500
dig,998.0000
other,999.1000
dig,1000.2000
other,1001.9000
dig,1002.7000
other,1004.3000
dig,1004.6500
other,1005.6500
dig,1006.0000
other,1006.6000
dig,1011.2500
other,1013.9000
dig,1014.7500
other,1016.9500
dig,1019.8000
other,1020.6000
dig,1021.1500
other,1021.6000
dig,1022.6000
other,1023.8000
dig,1024.4500
other,1025.3500
dig,1026.8000
other,1027.8500
dig,1029.8500
other,1030.7000
dig,1031.1000
other,1031.5000
dig,1033.0500
other,1033.4000
dig,1037.8000
other,1039.7000
dig,1041.2500
other,1041.7000
groom,1044.9000
other,1045.2000
dig,1046.8500
other,1048.5000
dig,1049.4000
other,1050.1000
dig,1052.2500
other,1053.6500
rear,1053.9500
other,1054.2500
dig,1055.3000
other,1055.9000
dig,1057.2500
other,1057.6500
dig,1058.3500
other,1059.8500
dig,1061.3000
other,1061.7500
dig,1062.2500
other,1063.3500
dig,1065.8500
other,1066.4500
dig,1071.8500
